Timestamp	GPU Usage Percentage	GPU Total Mem Usage	GPU Total Mem Usage Percentage	Process Mem Usage
1627392823.2618124	98	6092	76.35	
1627392824.276331	98	6092	76.35	
1627392825.2916791	98	6092	76.35	
1627392826.3075745	98	6092	76.35	
1627392827.322552	98	6092	76.35	
1627392828.3371174	98	6092	76.35	
1627392829.351921	98	6092	76.35	
1627392830.3681993	98	6092	76.35	
1627392831.383259	98	6090	76.33	
1627392832.3978512	10	1386	17.37	
1627392833.4128819	10	1952	24.46	
1627392834.4280996	62	5328	66.78	
1627392835.442537	98	5326	66.75	
1627392836.4711692	12	1181	14.8	
1627392837.4921672	0	1181	14.8	
1627392838.5150983	0	1181	14.8	
1627392839.5300107	0	1181	14.8	
1627392840.5470579	0	1180	14.79	
1627392841.5618448	2	1543	19.34	
1627392842.5782783	10	3079	38.59	
1627392843.593222	43	1180	14.79	
1627392844.6078403	0	1180	14.79	
1627392845.6241632	0	1180	14.79	
1627392846.6402972	4	1701	21.32	
1627392847.6880298	18	7119	89.22	
1627392848.7085385	87	6849	85.84	
1627392849.7234387	100	6849	85.84	
1627392850.7392352	89	1180	14.79	
1627392851.753785	11	1180	14.79	
1627392852.776633	2	1657	20.77	
1627392853.8000817	11	6091	76.34	
1627392854.8200908	83	6091	76.34	
1627392855.8347578	98	6091	76.34	
1627392856.8497233	98	6091	76.34	
1627392857.8715992	98	6091	76.34	
1627392858.8860397	98	6091	76.34	
1627392859.9010973	98	6091	76.34	
1627392860.921334	98	6091	76.34	
1627392861.9362154	98	6091	76.34	
1627392862.9516406	98	6091	76.34	
1627392863.9689546	98	6090	76.33	
1627392864.9838295	98	6090	76.33	
1627392865.998592	98	6090	76.33	
1627392867.0146832	98	6090	76.33	
1627392868.0318635	98	6090	76.33	
1627392869.0480313	98	6090	76.33	
1627392870.0630643	98	6090	76.33	
1627392871.0785913	98	6090	76.33	
1627392872.0956988	98	6090	76.33	
1627392873.1102505	98	6090	76.33	
1627392874.1246545	98	6090	76.33	
1627392875.141165	98	6090	76.33	
1627392876.1552312	52	1179	14.78	
1627392877.1690967	1	1668	20.9	
1627392878.1874785	10	7178	89.96	
1627392879.2020624	69	6848	85.83	
1627392880.2162707	100	6848	85.83	
1627392881.2303886	100	1179	14.78	
1627392882.2511888	29	1179	14.78	
1627392883.2924628	0	1179	14.78	
1627392884.3152602	0	1179	14.78	
1627392885.3456273	0	1179	14.78	
1627392886.373219	0	1179	14.78	
1627392887.387612	2	1805	22.62	
1627392888.4029562	10	3244	40.66	
1627392889.4252222	46	1179	14.78	
1627392890.440767	0	1179	14.78	
1627392891.4643083	0	1179	14.78	
1627392892.4804456	0	1179	14.78	
1627392893.4959652	0	1693	21.22	
1627392894.511021	10	7772	97.41	
1627392895.529286	35	1179	14.78	
1627392896.5440295	2	1179	14.78	
1627392897.5605595	0	1343	16.83	
1627392898.575224	3	1913	23.98	
1627392899.5930102	11	1179	14.78	
1627392900.6093636	27	1179	14.78	
1627392901.623842	0	1179	14.78	
1627392902.6434677	0	1179	14.78	
1627392903.6598146	0	1179	14.78	
1627392904.6769323	0	1179	14.78	
1627392905.6952755	0	1179	14.78	
1627392906.7117963	1	1839	23.05	
1627392907.7412627	10	1179	14.78	
1627392908.763114	47	1179	14.78	
1627392909.794138	0	1179	14.78	
1627392910.8114293	0	1179	14.78	
1627392911.8253894	9	1803	22.6	
1627392912.8401704	51	6091	76.34	
1627392913.854549	98	6091	76.34	
1627392914.8703706	98	6091	76.34	
1627392915.8852828	98	6091	76.34	
1627392916.8998616	98	6091	76.34	
1627392917.915721	98	6091	76.34	
1627392918.9308043	98	6091	76.34	
1627392919.945429	98	6091	76.34	
1627392920.9601302	98	6091	76.34	
1627392921.976794	98	6091	76.34	
1627392922.9915462	98	6091	76.34	
1627392924.006124	98	6091	76.34	
1627392925.0211916	98	6091	76.34	
1627392926.036456	98	6091	76.34	
1627392927.0509794	98	6091	76.34	
1627392928.0657194	98	6091	76.34	
1627392929.0804923	98	6091	76.34	
1627392930.096473	98	6091	76.34	
1627392931.1110656	98	6091	76.34	
1627392932.1258657	98	6091	76.34	
1627392933.140714	98	6091	76.34	
1627392934.1559126	78	1179	14.78	
1627392935.1947906	7	1179	14.78	
1627392936.209174	8	1829	22.92	
1627392937.2240226	41	7121	89.25	
1627392938.2386563	98	6849	85.84	
1627392939.2532556	100	6849	85.84	
1627392940.267358	61	1179	14.78	
1627392941.281937	0	1443	18.08	
1627392942.2970712	10	2457	30.79	
1627392943.330241	66	6849	85.84	
1627392944.3473089	98	6849	85.84	
1627392945.3619778	100	6849	85.84	
1627392946.3767412	35	1179	14.78	
1627392947.3939095	0	1329	16.66	
1627392948.4100244	8	1895	23.75	
1627392949.4526176	41	6091	76.34	
1627392950.468555	98	6091	76.34	
1627392951.4842806	98	6091	76.34	
1627392952.499012	98	6091	76.34	
1627392953.5137787	98	6091	76.34	
1627392954.5298429	98	6091	76.34	
1627392955.5485628	98	6091	76.34	
1627392956.563243	98	6091	76.34	
1627392957.577863	98	6091	76.34	
1627392958.5933151	98	6091	76.34	
1627392959.611383	98	6091	76.34	
1627392960.6263268	98	6091	76.34	
1627392961.6408246	98	6091	76.34	
1627392962.655303	98	6091	76.34	
1627392963.6714852	98	6091	76.34	
1627392964.6913483	98	6091	76.34	
1627392965.7057602	98	6091	76.34	
1627392966.7217083	98	6091	76.34	
1627392967.7428493	98	6091	76.34	
1627392968.757587	98	6091	76.34	
1627392969.7720642	98	6091	76.34	
1627392970.8092794	89	1179	14.78	
1627392971.8251731	9	1179	14.78	
1627392972.8457735	0	1179	14.78	
1627392973.8668292	0	1179	14.78	
1627392974.8895822	0	1179	14.78	
1627392975.9106562	0	1179	14.78	
1627392976.9425864	0	1179	14.78	
1627392977.965448	0	1179	14.78	
1627392978.9884048	0	1179	14.78	
1627392980.0148518	0	1179	14.78	
1627392981.0385683	0	1179	14.78	
